T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2
K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm
As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm
287.05905,312.857,0.102153342753992,3.17954616412819,--,4.9650084294166E-4,--,285.70355,312.857,0.102153342753992,41.4227111978289,--,0.0297636164144228,--,285.72275,312.857,0.102153342753992,10.5376859801848,--,0.00160246338496276,--,289.058,312.857,0.102153342753992,12.6511366795146,--,0.00186419538478648,--
286.4139,312.857,0.102153342753992,,1.44897739320301,,2.26904723836811E-4,284.8464,312.857,0.102153342753992,,0.730907243997234,,1.44719139729255E-4,284.9371,312.857,0.102153342753992,,0.173039785360109,,6.11128254009438E-5,288.5171,312.857,0.102153342753992,,2.43515831736717,,3.98761451843219E-4
285.7811,312.857,0.102153342753992,3.17413017691341,--,5.03740719124175E-4,--,284.27615,312.857,0.102153342753992,41.369660787809,--,0.0300537961221413,--,284.31665,312.857,0.102153342753992,10.5255665682419,--,0.00159535356175529,--,287.7412,312.857,0.102153342753992,12.6440764817571,--,0.00171719289465408,--
285.03815,312.857,0.102153342753992,,1.44642434703565,,2.14162034051465E-4,283.7635,312.857,0.102153342753992,,0.731185432611627,,2.42919784915163E-4,283.52215,312.857,0.102153342753992,,0.172913448877683,,7.16418681113291E-5,287.1928,312.857,0.102153342753992,,2.43408112194777,,3.94515478423272E-4
284.4629,312.857,0.102153342753992,3.16949575376233,--,4.99779371844106E-4,--,283.2063,312.857,0.102153342753992,41.3161837638364,--,0.0300817422563903,--,282.8818,312.857,0.102153342753992,10.5126744504774,--,0.00163428093513959,--,286.5946,312.857,0.102153342753992,12.6357280164005,--,0.0019587717730464,--
283.6011,312.857,0.102153342753992,,1.44415018310866,,2.20862236119861E-4,282.69475,312.857,0.102153342753992,,0.730679124229644,,1.45466080140397E-4,282.4215,312.857,0.102153342753992,,0.173195381674899,,7.24977397009709E-5,286.15545,312.857,0.102153342753992,,2.43283070801457,,4.01326267277158E-4
282.9856,312.857,0.102153342753992,3.16377185739941,--,4.79358536904937E-4,--,282.08475,312.857,0.102153342753992,41.276272848769,--,0.0306646211505226,--,281.82695,312.857,0.102153342753992,10.503406992077,--,0.00170352209187172,--,285.55835,312.857,0.102153342753992,12.6289398259903,--,0.00185848750771872,--
282.469,312.857,0.102153342753992,,1.44200895151724,,2.33308944386969E-4,281.5311,312.857,0.102153342753992,,0.731392036027844,,2.86848660051017E-4,281.04225,312.857,0.102153342753992,,0.172680351012686,,5.86057633013177E-5,285.0473,312.857,0.102153342753992,,2.43142839366734,,3.94445409705538E-4
281.8614,312.857,0.102153342753992,3.15913632887558,--,4.64191713733247E-4,--,280.9305,312.857,0.102153342753992,40.9200014572153,--,0.0281692654901,--,280.4582,312.857,0.102153342753992,10.4910285161804,--,0.00160411683789217,--,284.464,312.857,0.102153342753992,12.6215696397247,--,0.00192531420190714,--
280.9892,312.857,0.102153342753992,,1.43969353819544,,2.12837267577853E-4,280.45645,312.857,0.102153342753992,,0.731513266313975,,3.49643191840364E-4,279.6826,312.857,0.102153342753992,,0.172529541359279,,7.0065809817796E-5,283.98525,312.857,0.102153342753992,,2.43009920445323,,4.01624306119433E-4
