Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption
eV,,eV,,eV,,eV,,eV,
,As Deposited,,Gd (3 nm),,Gd (7 nm),,Gd (20 nm),,Ta (20 nm) Annealed
917.20001221,0.00996091685099062,917.20001221,0.00643432891622211,917.20001221,0.00724331947378909,917.20001221,0.00629614093277,917.20001221,0.0322622626135621
917.40002441,0.00744078741184945,917.40002441,0.00898240186328655,917.40002441,0.00518612869883364,917.40002441,0.00616351542775865,917.40002441,0.025470305132051
917.59997559,0.00859827084097756,917.59997559,0.00645742408819264,917.59997559,0.00811175438756424,917.59997559,0.00730836747374134,917.59997559,0.0337365243565472
917.79998779,0.00930790683931834,917.79998779,0.00772295290095055,917.79998779,0.0092125337897643,917.79998779,0.00860918361580438,917.79998779,0.0203933822259631
918,0.00836403553740524,918,0.00648358077292008,918,0.00815576305170775,918,0.00823883381121592,918,0.0212105813128445
918.20001221,0.00783269329311883,918.20001221,0.00913466679074393,918.20001221,0.00756383866227728,918.20001221,0.00790099149664573,918.20001221,0.0260993054067228
918.40002441,0.0116141902010952,918.40002441,0.00891243999474962,918.40002441,0.00789577823662684,918.40002441,0.00585803769812164,918.40002441,0.018565730884282
918.59997559,0.0113871736698738,918.59997559,0.00858221821005352,918.59997559,0.0085925911144487,918.59997559,0.0119216197886398,918.59997559,0.0327332124737827
918.79998779,0.0105589440666151,918.79998779,0.00847876139246947,918.79998779,0.00906391818160603,918.79998779,0.00786931439857477,918.79998779,0.02565143199481
919,0.0108164923033582,919,0.00949987003195927,919,0.00916706189806473,919,0.00706200372845477,919,0.0334270186233769
919.20001221,0.0115842743333918,919.20001221,0.00888300615920067,919.20001221,0.00884658556449974,919.20001221,0.00899125581165032,919.20001221,0.0297812938497416
919.40002441,0.00945481292037814,919.40002441,0.0100757402877027,919.40002441,0.00896514054992068,919.40002441,0.0115751101078106,919.40002441,0.0330050119795693
919.59997559,0.00977191663599601,919.59997559,0.00975040243201337,919.59997559,0.0091318586877472,919.59997559,0.0122002212242908,919.59997559,0.034785432674648
919.79998779,0.00881072506486995,919.79998779,0.00913834396469227,919.79998779,0.0109817992905731,919.79998779,0.0106060370890469,919.79998779,0.0411190063856462
920,0.0103580463633937,920,0.0107124339893075,920,0.010128080137565,920,0.0105167745760425,920,0.0325374717225316
920.20001221,0.0122009406432784,920.20001221,0.0112115029022891,920.20001221,0.00933113964010764,920.20001221,0.00926200600702429,920.20001221,0.0324371501097021
920.40002441,0.0122722815487147,920.40002441,0.00995217805080896,920.40002441,0.0117502055202658,920.40002441,0.0121607076366558,920.40002441,0.0354589964152422
920.59997559,0.0127154535179866,920.59997559,0.0125413263062924,920.59997559,0.00938917457190657,920.59997559,0.0125228841194531,920.59997559,0.0363206465083364
920.79998779,0.0128872450319457,920.79998779,0.0112783850925704,920.79998779,0.0134562754695994,920.79998779,0.0128490444937595,920.79998779,0.0358234902747437
