Temperature,Delta Temperature,Moment,Delta Moment,Temperature,Delta Temperature,Moment,Delta Moment,Temperature,Delta Temperature,Moment,Delta Moment,Temperature,Delta Temperature,Moment,Delta Moment
As Grown,As Grown,As Grown,As Grown,Gd (3 nm),Gd (3 nm),Gd (3 nm),Gd (3 nm),Gd (7 nm),Gd (7 nm),Gd (7 nm),Gd (7 nm),Gd (20 nm),Gd (20 nm),Gd (20 nm),Gd (20 nm)
54.04669,0.02946854,-1.060819E-4,9.356992E-8,54.03664,0.03749847,-4.784951E-5,3.929402E-8,54.043,0.03350067,-8.270329E-6,5.69914E-6,54.04937,0.03216171,-2.488623E-8,1.002245E-8
56.06052,0.04167938,-1.060594E-4,9.297825E-8,56.06016,0.02729797,-4.515011E-5,2.286899E-8,56.06304,0.03738022,1.898441E-6,1.650468E-5,56.05514,0.04166794,1.589991E-7,6.243984E-8
58.06721,0.02000046,-1.059868E-4,1.536775E-7,58.06451,0.02153015,-4.131423E-5,4.933939E-8,58.05913,0.0384407,-2.273793E-6,4.916958E-6,58.06489,0.02614975,1.289135E-7,4.367169E-7
60.07348,0.04431915,-1.06058E-4,1.374815E-7,60.06486,0.03940964,-3.699822E-5,9.869164E-8,60.05624,0.02462006,3.629268E-6,4.021379E-7,60.07101,0.04104996,2.201806E-8,2.564724E-7
62.08488,0.07341766,-1.059516E-4,3.236643E-8,62.05429,0.02619934,-3.211799E-5,8.920191E-8,62.06652,0.04718018,3.916843E-6,1.698567E-6,62.03421,0.01919937,-2.383639E-7,2.420535E-9
64.08138,0.06863403,-1.057829E-4,1.279943E-7,64.08324,0.0500946,-2.702253E-5,6.545058E-8,64.08185,0.05751038,3.642398E-6,9.31609E-8,64.06561,0.04080963,-6.577006E-8,1.523713E-7
66.05577,0.04125214,-1.056692E-4,7.186367E-8,66.0833,0.06290436,-1.94964E-5,7.254408E-8,66.08279,0.0393219,1.66692E-6,2.365604E-7,66.08083,0.04521179,2.703495E-8,6.202362E-8
68.08688,0.03119659,-1.056227E-4,1.927992E-7,68.07128,0.04989624,-1.157511E-5,3.428419E-9,68.07907,0.04989624,3.731314E-7,2.799124E-8,68.07907,0.03947449,1.17583E-8,5.52755E-8
70.07626,0.04608154,-1.052852E-4,7.541364E-8,70.08503,0.05267334,-5.673801E-6,9.27657E-8,70.05432,0.06357574,-1.217213E-7,2.11585E-7,70.08996,0.04389954,1.102188E-7,6.436573E-8
72.07999,0.07158661,-1.053391E-4,1.131873E-10,72.08172,0.06005859,-1.040238E-6,8.893141E-8,72.0742,0.05773926,-1.388823E-7,7.408477E-8,72.06902,0.0692749,-1.446722E-7,6.761989E-9
74.08411,0.08985901,-1.051542E-4,2.201082E-7,74.09504,0.04129791,1.053957E-6,2.400779E-7,74.10475,0.05101776,-1.294153E-8,2.133297E-7,74.08774,0.02429199,9.409385E-8,4.47877E-8
76.07858,0.09945679,-1.047859E-4,1.178383E-7,76.09195,0.07652283,5.918745E-7,3.973459E-7,76.09196,0.08673859,-6.61391E-8,9.442719E-8,76.0945,0.06632233,-3.411662E-8,2.08491E-7
78.10901,0.05885315,-1.027969E-4,5.032721E-8,78.08762,0.0909729,7.221339E-7,2.209874E-8,78.10033,0.06958771,-1.08123E-7,2.848471E-8,78.08627,0.0561676,-8.923791E-8,3.209577E-8
80.10832,0.0364151,-8.509017E-5,2.628056E-7,80.09082,0.06999969,4.477665E-7,4.217465E-7,80.08382,0.06157684,-4.986978E-8,6.237307E-8,80.07613,0.07556915,5.773081E-8,1.563902E-7
82.11571,0.07910156,-7.161754E-5,4.866027E-8,82.10179,0.0790863,7.599356E-7,2.355269E-8,82.10619,0.05857849,-6.829046E-8,1.543007E-8,82.10618,0.03806305,-2.221042E-8,3.211779E-8
84.09361,0.07647705,-5.709397E-5,2.317125E-7,84.11198,0.07038116,7.340598E-7,6.014552E-8,84.11427,0.061203,1.026825E-7,1.858526E-7,84.09973,0.05506897,1.007395E-7,2.469682E-7
86.10147,0.0574646,-7.654727E-6,1.326296E-6,86.11745,0.08940887,7.18654E-7,4.880352E-8,86.12862,0.05431366,-4.753042E-8,8.300476E-8,86.10864,0.04470825,-1.318298E-7,6.268154E-8
88.11497,0.01663208,-1.36142E-7,9.15953E-8,88.09669,0.1165085,7.420917E-7,7.907197E-8,88.0659,0.1064606,-2.12938E-8,4.722156E-8,88.11331,0.06993103,1.081345E-7,2.058188E-7
90.09769,0.0590744,1.13648E-7,3.564589E-8,90.11333,0.06951904,7.205977E-7,1.46484E-7,90.11159,0.06604004,-5.427938E-8,1.020595E-7,90.10551,0.05211639,5.271048E-8,1.246964E-7
92.11542,0.07246399,-1.925368E-7,3.534505E-8,92.08372,0.09414673,6.639013E-7,4.203278E-8,92.11089,0.07608032,-1.093355E-7,4.000993E-8,92.12356,0.05800629,2.539564E-8,1.203691E-7
94.13744,0.05666351,-4.66683E-9,6.846354E-8,94.09405,0.03392792,3.736039E-8,8.329798E-7,94.13462,0.05285645,-2.733814E-8,9.852808E-8,94.09782,0.06790924,-3.443746E-8,1.357835E-7
96.1363,0.08251953,-1.345064E-8,3.112788E-7,96.1255,0.08641815,4.664851E-7,2.707037E-7,96.13924,0.06678009,-6.209316E-8,6.257152E-8,96.10094,0.04319,-6.810579E-8,2.520536E-8
98.14069,0.09804535,-1.980246E-7,6.385886E-8,98.11922,0.06127167,-6.619385E-8,1.074106E-6,98.11718,0.1061935,1.189946E-10,1.196499E-7,98.11717,0.06536102,3.954671E-9,1.404922E-7
