[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1509082852.360000 10/26/2017, 10:40:52 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, YBCO Gd 7nm
INFO, WEIGHT, 62.770
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, with substrate
INFO, COMMENT, H in plane
INFO, SEQUENCE FILE: 20171025-YBCO-Ta-500C.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1509082852.350,,1.000000e+001,1.999644e+000,6.113232e-005,8.666034e-008,3,7.317102e-001,1.417586e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.582146e-003,0.000000e+000,0,,0,
1509083086.800,,1.000000e+001,3.982821e+000,6.032341e-005,3.406682e-008,3,7.279338e-001,5.647362e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.108885e-002,0.000000e+000,0,,0,
1509083250.030,,1.000000e+001,5.998650e+000,5.950398e-005,1.037825e-007,3,7.262141e-001,1.744127e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.836155e-003,0.000000e+000,0,,0,
1509083498.630,,1.000000e+001,7.994093e+000,5.866485e-005,2.691543e-008,3,7.233511e-001,4.588000e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.222801e-002,0.000000e+000,0,,0,
1509083641.811,,1.000000e+001,9.993929e+000,5.773169e-005,1.059434e-007,3,7.194872e-001,1.835099e-001,,,,,,,,,,,,,,48,2,6.000000e+000,8.117676e-003,0.000000e+000,0,,0,
1509083782.941,,1.000000e+001,1.199174e+001,5.656564e-005,1.110085e-007,3,7.156773e-001,1.962472e-001,,,,,,,,,,,,,,48,2,6.000000e+000,6.199837e-003,0.000000e+000,0,,0,
1509083932.711,,1.000000e+001,1.400240e+001,5.560019e-005,5.138705e-008,3,7.130480e-001,9.242244e-002,,,,,,,,,,,,,,48,2,6.000000e+000,5.179405e-003,0.000000e+000,0,,0,
1509084072.481,,1.000000e+001,1.599380e+001,5.441152e-005,1.538833e-008,3,7.077252e-001,2.828139e-002,,,,,,,,,,,,,,48,2,6.000000e+000,8.500099e-003,0.000000e+000,0,,0,
1509084221.122,,1.000000e+001,1.799191e+001,5.332126e-005,4.455980e-008,3,7.022056e-001,8.356854e-002,,,,,,,,,,,,,,48,2,6.000000e+000,5.781174e-003,0.000000e+000,0,,0,
1509084352.392,,1.000000e+001,1.999219e+001,5.196083e-005,1.748770e-007,3,6.964185e-001,3.365555e-001,,,,,,,,,,,,,,48,2,6.000000e+000,5.081177e-003,0.000000e+000,0,,0,
1509084533.232,,1.000000e+001,2.199733e+001,5.032446e-005,1.511900e-007,3,6.872368e-001,3.004304e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.669739e-003,0.000000e+000,0,,0,
1509084681.812,,1.000000e+001,2.399041e+001,4.872489e-005,8.980901e-008,3,6.787761e-001,1.843185e-001,,,,,,,,,,,,,,48,2,6.000000e+000,9.429932e-003,0.000000e+000,0,,0,
1509084834.672,,1.000000e+001,2.600073e+001,4.666382e-005,2.791354e-008,3,6.651962e-001,5.981837e-002,,,,,,,,,,,,,,48,2,6.000000e+000,2.538681e-003,0.000000e+000,0,,0,
1509084984.343,,1.000000e+001,2.799955e+001,4.434580e-005,1.313513e-007,3,6.477945e-001,2.961980e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.939774e-003,0.000000e+000,0,,0,
