[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,PPMS_MANG
FILEOPENTIME,30551386.52,12/20/2017,3:57 pm
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.4. Build 2,APPNAME
INFO,,SAMPLE1_MATERIAL
INFO,,SAMPLE1_COMMENT
INFO,1.0,SAMPLE1_LEAD_SEPARATION
INFO,1.0,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1.0,SAMPLE2_LEAD_SEPARATION
INFO,1.0,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30551420.78,4370,300.0162,312.857,90.014,0.102153342753992,173,0.00108839840608654,,1.60251393637912E-7,,10.6546721994364,,0.00156875093186033,,,,,,,,,,0,2500,-91.6806589534157,,-82.6427471905906,,-4.71700634033239E-6,,0.00108839844110245,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551435.78,4370,299.8551,312.857,90.014,0.102153342753992,173,,1.78051812614003E-5,,7.14615925512524E-9,,0.174303199907772,,6.99569373085193E-5,,,,,,,,,0,25000,,-84.6417553035128,,-72.6805876958245,,6.0655276538553E-7,,1.78052166538626E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551446.985,4370,299.38775,312.857,90.014,0.102153342753992,173,0.00108833633453472,,1.68475664339525E-7,,10.6540645549287,,0.00164926089500051,,,,,,,,,,0,2500,-89.9462446141382,,-81.1008267114248,,-4.23944964125277E-6,,0.00108833636282103,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551462.195,4370,298.7577,312.857,90.014,0.102153342753992,173,,1.78229240797263E-5,,1.32953290943186E-8,,0.174476897229256,,0.000130154035435822,,,,,,,,,0,25000,,-61.8398057919065,,-72.8928176880603,,4.26545433047735E-7,,1.78229415649767E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551472.98,4374,298.3999,312.857,90.014,0.102153342753992,173,0.00108755941176715,,1.60141627231291E-7,,10.6464589315029,,0.00156767638915125,,,,,,,,,,0,2500,-93.764183691868,,-84.1399321596125,,-4.31238325482745E-6,,0.00108755944105599,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551488.28,4374,297.9031,312.857,90.014,0.102153342753992,173,,1.77775295970144E-5,,8.94655925771879E-9,,0.174032497721417,,8.7581867358957E-5,,,,,,,,,0,25000,,-79.3623627095166,,-75.3428879026449,,5.7752267707329E-7,,1.77775617326368E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551499.36,4374,297.50695,312.857,90.014,0.102153342753992,173,0.00108689929959858,,1.74648365107092E-7,,10.6399968162072,,0.00170968735157446,,,,,,,,,,0,2500,-88.2924601158668,,-79.6823628735805,,-4.86373437817581E-6,,0.00108689933687815,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551514.765,4374,296.7803,312.857,90.014,0.102153342753992,173,,1.77866772526167E-5,,7.45862008812249E-9,,0.174122050750436,,7.30157774369686E-5,,,,,,,,,0,25000,,-80.3815558594476,,-85.1971813034566,,5.5397972948156E-7,,1.77867068063941E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551526.575,4374,296.0267,312.857,90.014,0.102153342753992,173,0.0010858468286981,,1.66465155309495E-7,,10.6296937366542,,0.00162957932150911,,,,,,,,,,0,2500,-90.1553814026912,,-86.0277220260534,,-5.59232351663138E-6,,0.00108584687803098,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30551541.4,4374,294.74605,312.857,90.014,0.102153342753992,173,,1.77962004690013E-5,,7.4251458846483E-8,,0.174210683573409,,0.000725397566765253,,,,,,,,,0,1250,,-54.4348672860923,,-56.9806874580513,,1.93358129897646E-5,,1.78321488720332E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
