Photon Energy,Absorption
eV,
,As Deposited
910.20001221,0.00182562987787668
910.40002441,-0.00142817780103671
910.59997559,0.00275600937846888
910.79998779,0.00104464547752523
911,0.001384456908504
911.20001221,0.00220783587902217
911.40002441,0.00315607308151941
911.59997559,0.00358391893755076
911.79998779,0.00300034704112332
912,0.00142462822503931
912.20001221,0.00331147954116137
912.40002441,0.00443547533656989
912.59997559,0.00289801006959331
912.79998779,0.00435723975042537
913,0.00285830804274484
913.20001221,0.00172851252302637
913.40002441,0.00365258516883077
913.59997559,0.00601584217601272
913.79998779,0.00299380343821463
914,0.00572331805769251
914.20001221,0.00438289372386922
914.40002441,0.00487645204392654
914.59997559,0.00489214013192528
914.79998779,0.00790299938578093
915,0.00370682500898925
915.20001221,0.00482834330793351
915.40002441,0.00842428493006657
915.59997559,0.0066478420552581
915.79998779,0.00745896666325715
916,0.00845374800974155
916.20001221,0.00709060638404865
916.40002441,0.00674443678425566
916.59997559,0.00679860536262969
916.79998779,0.00860151485637051
917,0.00742462365488458
917.20001221,0.00996091685099062
917.40002441,0.00744078741184945
917.59997559,0.00859827084097756
917.79998779,0.00930790683931834
918,0.00836403553740524
918.20001221,0.00783269329311883
918.40002441,0.0116141902010952
918.59997559,0.0113871736698738
918.79998779,0.0105589440666151
919,0.0108164923033582
919.20001221,0.0115842743333918
919.40002441,0.00945481292037814
919.59997559,0.00977191663599601
919.79998779,0.00881072506486995
920,0.0103580463633937
920.20001221,0.0122009406432784
920.40002441,0.0122722815487147
920.59997559,0.0127154535179866
920.79998779,0.0128872450319457
921,0.011795621742433
921.20001221,0.0167030953410353
921.40002441,0.0157446908670342
921.59997559,0.0165165674915692
921.79998779,0.0160817660665446
922,0.0153685702590235
922.20001221,0.0172789904789979
922.40002441,0.0169638683783197
922.59997559,0.0170823756938224
922.79998779,0.016048707404219
923,0.0202585687260319
923.20001221,0.0183729866907171
923.40002441,0.0169604927327452
923.59997559,0.0228307974605949
923.79998779,0.0193439572861253
924,0.019771719453358
924.20001221,0.02078714022408
924.40002441,0.0236153594155091
924.59997559,0.024942009785883
924.79998779,0.0225210387552452
925,0.0268987778148068
925.20001221,0.0231413353502179
925.40002441,0.0258660161185334
925.59997559,0.026710726544694
925.79998779,0.0265042595245558
926,0.0309942825453902
926.20001221,0.0308716561239557
926.40002441,0.0320720946041148
926.59997559,0.0327272910230932
926.79998779,0.036192262059397
927,0.035173548341956
927.20001221,0.0385569611859401
927.40002441,0.0406780004108017
927.59997559,0.0418545853733491
927.79998779,0.0452203947638179
928,0.0474698794918177
928.20001221,0.0526670449773037
928.40002441,0.0535949239625576
928.59997559,0.0562504792558869
928.79998779,0.0633594326413283
929,0.0705898148289976
929.20001221,0.0761654145530256
929.40002441,0.0839565805455031
929.59997559,0.0997835845912216
929.79998779,0.114391300909507
930,0.136941905451401
930.20001221,0.172135785002843
930.40002441,0.219034034173841
930.59997559,0.289001228048593
930.79998779,0.393846577524964
931,0.553507287017125
931.20001221,0.728801783729814
931.40002441,0.903898244541944
931.59997559,0.996739590658746
931.79998779,0.999080224899464
932,0.936530416368967
932.20001221,0.858408412846643
932.40002441,0.778829748914213
932.59997559,0.709129087044034
932.79998779,0.661943339197758
933,0.636849205126006
933.20001221,0.606212277246262
933.40002441,0.549268502424421
933.59997559,0.478207936330518
933.79998779,0.417732298843748
934,0.357148607584321
934.20001221,0.30638082324452
934.40002441,0.27339457427943
934.59997559,0.241453517410804
934.79998779,0.223093963487287
935,0.210879162712803
935.20001221,0.200878714096928
935.40002441,0.201339676615675
