Photon Energy,Absorption
eV,
,Gd (3 nm)
910.20001221,0.0011719268653755
910.40002441,-8.2322541614201E-5
910.59997559,7.96781809924009E-4
910.79998779,0.0013712902114098
911,4.66442629100707E-4
911.20001221,5.75970497468994E-4
911.40002441,0.0016948753324826
911.59997559,0.00137018857489543
911.79998779,0.00234076792580822
912,-3.06595199029509E-4
912.20001221,0.00106080953793367
912.40002441,9.71827952619724E-4
912.59997559,0.00161416220932814
912.79998779,8.58641897510773E-4
913,0.00293637559301504
913.20001221,0.00338339700110327
913.40002441,0.00120948863993561
913.59997559,0.00381092127838905
913.79998779,0.00419725875208078
914,0.00226926759575718
914.20001221,0.00407280103032727
914.40002441,0.00390044159268635
914.59997559,0.0037585176884525
914.79998779,0.00347898809621289
915,0.00484473948547916
915.20001221,0.00333656021863341
915.40002441,0.00448418471669889
915.59997559,0.00434554532090104
915.79998779,0.00547966602807317
916,0.00667131392953764
916.20001221,0.00624614319060622
916.40002441,0.00575097912034616
916.59997559,0.00612885649208779
916.79998779,0.00640450380861371
917,0.00754936352510553
917.20001221,0.00643432891622211
917.40002441,0.00898240186328655
917.59997559,0.00645742408819264
917.79998779,0.00772295290095055
918,0.00648358077292008
918.20001221,0.00913466679074393
918.40002441,0.00891243999474962
918.59997559,0.00858221821005352
918.79998779,0.00847876139246947
919,0.00949987003195927
919.20001221,0.00888300615920067
919.40002441,0.0100757402877027
919.59997559,0.00975040243201337
919.79998779,0.00913834396469227
920,0.0107124339893075
920.20001221,0.0112115029022891
920.40002441,0.00995217805080896
920.59997559,0.0125413263062924
920.79998779,0.0112783850925704
921,0.0125984607064947
921.20001221,0.0126133416609205
921.40002441,0.012027885911683
921.59997559,0.0133537019031888
921.79998779,0.0125998824019145
922,0.0144054796479
922.20001221,0.0138467935092832
922.40002441,0.0138211014164728
922.59997559,0.0147945648236984
922.79998779,0.016231608566747
923,0.0171347918931768
923.20001221,0.0161825865716665
923.40002441,0.0182921241594647
923.59997559,0.0180641518971872
923.79998779,0.0184657386158105
924,0.0202263607528419
924.20001221,0.0206116421949794
924.40002441,0.0206198832383851
924.59997559,0.0208905019560335
924.79998779,0.024324824122309
925,0.0216149245318496
925.20001221,0.0229504775647422
925.40002441,0.0247889775782136
925.59997559,0.0250514237785287
925.79998779,0.0261453167043944
926,0.0290916597703311
926.20001221,0.0285672412478262
926.40002441,0.0301920738035176
926.59997559,0.0320607653964687
926.79998779,0.0346169772517464
927,0.0355375479091188
927.20001221,0.0376814080883825
927.40002441,0.0408086079188096
927.59997559,0.0407817206472127
927.79998779,0.0449595745717478
928,0.0482293283660013
928.20001221,0.053280448044129
928.40002441,0.0563309791042439
928.59997559,0.0610332050416888
928.79998779,0.0673279147799866
929,0.075548927698467
929.20001221,0.0842728323019093
929.40002441,0.0969141468127383
929.59997559,0.111008234084741
929.79998779,0.128746593200751
930,0.155035107711759
930.20001221,0.194652070063095
930.40002441,0.245506550320901
930.59997559,0.325419831925669
930.79998779,0.443903756632117
931,0.619304150520747
931.20001221,0.807152704405334
931.40002441,0.948336187068259
931.59997559,1
931.79998779,0.968037241348033
932,0.87748290629618
932.20001221,0.775857751550953
932.40002441,0.679527613227497
932.59997559,0.611415212729824
932.79998779,0.571158513785963
933,0.543826687247352
933.20001221,0.510906738916835
933.40002441,0.461697010493983
933.59997559,0.402637773394208
933.79998779,0.348933936637835
934,0.304499185034866
934.20001221,0.27085681196938
934.40002441,0.245523067306864
934.59997559,0.220370521445652
934.79998779,0.203884562295517
935,0.192256313072768
935.20001221,0.185861349894135
935.40002441,0.184496953079389
935.59997559,0.187756489845467
935.79998779,0.193661085139263
936,0.200658272773528
936.20001221,0.208211872211838
936.40002441,0.213550270934761
936.59997559,0.216842217618409
936.79998779,0.219200217228491
937,0.217605412861764
937.20001221,0.215819854357968
937.40002441,0.214578800776291
937.59997559,0.21328322784906
937.79998779,0.2115089577294
938,0.211560634524111
938.20001221,0.211851715343169
938.40002441,0.214184980708521
938.59997559,0.21330995611496
938.79998779,0.216045388785636
939,0.216319948401389
939.20001221,0.216349630042254
939.40002441,0.21585305790357
939.59997559,0.214402055457915
939.79998779,0.211425825686245
940,0.209105995089268
940.20001221,0.205624959870072
940.40002441,0.199974362204029
940.59997559,0.196486478518879
940.79998779,0.193959996283881
941,0.18971386477879
941.20001221,0.190040520676358
941.40002441,0.188326241736785
941.59997559,0.18796576996801
941.79998779,0.190542757464136
942,0.192252479584287
942.20001221,0.195449768976252
942.40002441,0.202123829530811
942.59997559,0.206528986829205
942.79998779,0.214169804153815
943,0.21872268175317
943.20001221,0.220756663295902
943.40002441,0.220985217501154
943.59997559,0.221481618609489
943.79998779,0.221247024804898
944,0.22123098642751
944.20001221,0.223283740970084
944.40002441,0.224354441825873
944.59997559,0.225637613536935
944.79998779,0.22719965413443
945,0.23063081282573
945.20001221,0.230096292701572
945.40002441,0.232173576654428
945.59997559,0.234885402279513
945.79998779,0.23874963778822
946,0.243647815518487
946.20001221,0.244939247380262
946.40002441,0.246678099947809
946.59997559,0.247037249513617
946.79998779,0.247415491761525
947,0.246092338538765
947.20001221,0.243228234804257
947.40002441,0.242547610657728
947.59997559,0.241156994880643
947.79998779,0.241119118586484
948,0.242000007917454
948.20001221,0.244499969165067
948.40002441,0.245913412819037
948.59997559,0.247918068399257
948.79998779,0.252948249720295
949,0.256768428076591
949.20001221,0.263170492174244
949.40002441,0.267909539006812
949.59997559,0.275410284435598
949.79998779,0.286917146272834
950,0.297961992087376
950.20001221,0.314118817011984
950.40002441,0.337794328674858
