[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,PPMS_MANG
FILEOPENTIME,30541543.30,12/20/2017,1:13 pm
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.4. Build 2,APPNAME
INFO,,SAMPLE1_MATERIAL
INFO,,SAMPLE1_COMMENT
INFO,1.0,SAMPLE1_LEAD_SEPARATION
INFO,1.0,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1.0,SAMPLE2_LEAD_SEPARATION
INFO,1.0,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30541552.725,4370,300.03485,312.857,90.014,0.102153342753992,173,0.00129894627244735,,2.21567275701673E-7,,12.715818138749,,0.00216899589384588,,,,,,,,,,0,2500,-82.9543738458701,,-79.8552208283172,,-4.26619391001785E-6,,0.00129894629644731,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541561.72,4370,299.98715,312.857,90.014,0.102153342753992,173,,0.00025026205211101,,3.79553367756037E-8,,2.45078207964385,,0.000371691419537603,,,,,,,,,0,5000,,-84.6409444578989,,-82.1170544304491,,8.39052634568495E-7,,0.000250262056929421,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541573.76,4370,299.6167,312.857,90.014,0.102153342753992,173,0.00129920901762869,,1.92851986190107E-7,,12.7183902727109,,0.0018878923263373,,,,,,,,,,0,2500,-88.2998621512046,,-82.313109839865,,-6.0314267531042E-6,,0.00129920906558895,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541583.145,4370,299.15505,312.857,90.014,0.102153342753992,173,,0.000250074112989074,,7.17288240203116E-8,,2.44894093018973,,0.00070243037038013,,,,,,,,,0,5000,,-74.7493450695178,,-74.2576091049356,,5.01145075395929E-7,,0.000250074114709273,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541594.97,4370,298.6905,312.857,90.014,0.102153342753992,173,0.00129835017897848,,3.63999450247472E-7,,12.7099827044523,,0.00356331194064857,,,,,,,,,,0,2500,-74.6890686755112,,-77.3486082390036,,2.12253235458021E-6,,0.00129835018492191,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541604.365,4374,298.382,312.857,90.014,0.102153342753992,173,,0.000250423869830466,,9.09541678114458E-8,,2.45236733107201,,0.000890701909140379,,,,,,,,,0,5000,,-71.5640393509236,,-78.7858542157281,,1.33226573368468E-6,,0.000250423881970682,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541615.535,4374,298.01285,312.857,90.014,0.102153342753992,173,0.00129881623306267,,4.58992740024555E-7,,12.7145451231424,,0.0044932323429248,,,,,,,,,,0,2500,-69.6141934101887,,-78.8741514852728,,-1.16071021876709E-5,,0.00129881641073521,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541624.96,4374,297.69815,312.857,90.014,0.102153342753992,173,,0.000250259475540231,,5.93716078401584E-8,,2.45075683820851,,0.000581418030895331,,,,,,,,,0,5000,,-79.2835760017465,,-79.9274044670042,,7.81147868988509E-7,,0.000250259479716576,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541637.35,4374,297.216,312.857,90.014,0.102153342753992,173,0.00129795503670365,,1.97469507860268E-7,,12.7061144742504,,0.00193309476612948,,,,,,,,,,0,2500,-89.0933765498055,,-83.4581813182285,,-5.73566951883488E-6,,0.00129795508011757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30541646.415,4374,296.74855,312.857,90.014,0.102153342753992,173,,0.00024989071724908,,3.77619167786089E-8,,2.44714429106606,,0.000369797080812662,,,,,,,,,0,5000,,-86.2852209683749,,-82.5792015427383,,7.17140141582999E-7,,0.000249890720774236,,,,,,,,,,,,,,,,,,,,,,,,,,
