#     thickness (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   2     4.58727630799077                    0                   -0                  270
                   2     4.59105885291036                    0                   -0                  270
                   2     4.59462495152255                    0                   -0                  270
                   2      4.5979832537315                    0                   -0                  270
                   2     4.60114235360425                    0                   -0                  270
                   2     4.60411076486589                    0                   -0                  270
                   2     4.60689689819378                    0                   -0                  270
                   2     4.60950904032551                    0                   -0                  270
                   2     4.61195533498256                    0                   -0                  270
                   2     4.61424376559996                    0                   -0                  270
                   2     4.61638213984098                    0                   -0                  270
                   2     4.61837807586594                    0                   -0                  270
                   2     4.62023899031479                    0                   -0                  270
                   2     4.62197208795468                    0                   -0                  270
                   2     4.62358435293643                    0                   -0                  270
                   2     4.62508254159701                    0                   -0                  270
                   2     4.62647317673987                    0                   -0                  270
                   2     4.62776254331976                    0                   -0                  270
                   2     4.62895668545528                    0                   -0                  270
                   2      4.6300614046891                    0                   -0                  270
                   2     4.63108225941375                    0                   -0                  270
                   2     4.63202456537937                    0                   -0                  270
                   2     4.63289339719919                    0                   -0                  270
                   2     4.63369359076866                    0                   -0                  270
                   2     4.63442974651428                    0                   -0                  270
                   2     4.63510623339009                    0                   -0                  270
                   2     4.63572719354092                    0                   -0                  270
                   2     4.63629654755391                    0                   -0                  270
                   2     4.63681800022257                    0                   -0                  270
                   2     4.63729504675021                    0                   -0                  270
                   2     4.63773097932319                    0                   -0                  270
                   2     4.63812889398783                    0                   -0                  270
                   2     4.63849169776832                    0                   -0                  270
                   2      4.6388221159671                    0                   -0                  270
                   2       4.639122699593                    0                   -0                  270
                   2     4.63939583286631                    0                   -0                  270
                   2      4.6396437407543                    0                   -0                  270
                   2     4.63986849649431                    0                   -0                  270
                   2     4.64007202906585                    0                   -0                  270
                   2     4.64025613057693                    0                   -0                  270
                   2     4.64042246353342                    0                   -0                  270
                   2     4.64057256796427                    0                   -0                  270
                   2     4.64070786837862                    0                   -0                  270
                   2     4.64082968053438                    0                   -0                  270
                   2     4.64093921800093                    0                   -0                  270
                   2     4.64103759850168                    0                   -0                  270
                   2     4.64112585002494                    0                   -0                  270
                   2      4.6412049166943                    0                   -0                  270
                   2     4.64127566439196                    0                   -0                  270
                   2     4.64133888613086                    0                   -0                  270
                   2     4.64139530717335                    0                   -0                  270
                   2     4.64144558989598                    0                   -0                  270
                   2     4.64149033840172                    0                   -0                  270
                   2     4.64153010288229                    0                   -0                  270
                   2     4.64156538373455                    0                   -0                  270
                   2     4.64159663543617                    0                   -0                  270
                   2     4.64162427018646                    0                   -0                  270
                   2     4.64164866131944                    0                   -0                  270
                   2     4.64167014649655                    0                   -0                  270
                   2     4.64168903068706                    0                   -0                  270
                   2     4.64170558894481                    0                   -0                  270
                   2     4.64172006898994                    0                   -0                  270
                   2     4.64173269360471                    0                   -0                  270
                   2     4.64174366285246                    0                   -0                  270
                   2     4.64175315612898                    0                   -0                  270
                   2     4.64176133405534                    0                   -0                  270
                   2     4.64176834022129                    0                   -0                  270
                   2     4.64177430278798                    0                   -0                  270
                   2     4.64177933595892                    0                   -0                  270
                   2     4.64178354132737                    0                   -0                  270
                   2     4.64178700910861                    0                   -0                  270
                   2     4.64178981926472                    0                   -0                  270
                   2     4.64179204252965                    0                   -0                  270
                   2     4.64179374134174                    0                   -0                  270
                   2      4.6417949706905                    0                   -0                  270
                   2     4.64179577888441                    0                   -0                  270
                   2     4.64179620824573                    0                   -0                  270
                   2     4.64179629573827                    0                   -0                  270
                   2     4.64179607353359                    0                   -0                  270
                   2     4.64179556952085                    0                   -0                  270
                   2     4.64179480776494                    0                   -0                  270
                   2     4.64179380891769                    0                   -0                  270
                   2       4.641792590586                    0                   -0                  270
                   2     4.64179116766109                    0                   -0                  270
                   2     4.64178955261218                    0                   -0                  270
                   2      4.6417877557481                    0                   -0                  270
                   2     4.64178578544989                    0                   -0                  270
                   2     4.64178364837697                    0                   -0                  270
                   2     4.64178134964981                    0                   -0                  270
                   2     4.64177889301111                    0                   -0                  270
                   2     4.64177628096786                    0                   -0                  270
                   2     4.64177351491621                    0                   -0                  270
                   2     4.64177059525074                    0                   -0                  270
                   2     4.64176752146013                    0                   -0                  270
                   2     4.64176429221021                    0                   -0                  270
                   2     4.64176090541619                    0                   -0                  270
                   2     4.64175735830487                    0                   -0                  270
                   2     4.64175364746817                    0                   -0                  270
                   2     4.64174976890882                    0                   -0                  270
                   2     4.64174571807909                    0                   -0                  270
                   2     4.64174148991335                    0                   -0                  270
                   2     4.64173707885521                    0                   -0                  270
                   2     4.64173247887972                    0                   -0                  270
                   2     4.64172768351129                    0                   -0                  270
                   2     4.64172268583782                    0                   -0                  270
                   2     4.64171747852141                    0                   -0                  270
                   2     4.64171205380609                    0                   -0                  270
                   2     4.64170640352285                    0                   -0                  270
                   2     4.64170051909236                    0                   -0                  270
                   2     4.64169439152555                    0                   -0                  270
                   2     4.64168801142235                    0                   -0                  270
                   2     4.64168136896878                    0                   -0                  270
                   2     4.64167445393248                    0                   -0                  270
                   2     4.64166725565704                    0                   -0                  270
                   2     4.64165976305502                    0                   -0                  270
                   2     4.64165196459998                    0                   -0                  270
                   2     4.64164384831751                    0                   -0                  270
                   2     4.64163540177539                    0                   -0                  270
                   2     4.64162661207296                    0                   -0                  270
                   2     4.64161746582974                    0                   -0                  270
                   2     4.64160794917342                    0                   -0                  270
                   2      4.6415980477272                    0                   -0                  270
                   2     4.64158774659657                    0                   -0                  270
                   2     4.64157703035552                    0                   -0                  270
                   2     4.64156588303236                    0                   -0                  270
                   2     4.64155428809487                    0                   -0                  270
                   2     4.64154222843524                    0                   -0                  270
                   2     4.64152968635439                    0                   -0                  270
                   2     4.64151664354598                    0                   -0                  270
                   2     4.64150308108002                    0                   -0                  270
                   2      4.6414889793861                    0                   -0                  270
                   2     4.64147431823626                    0                   -0                  270
                   2     4.64145907672748                    0                   -0                  270
                   2     4.64144323326393                    0                   -0                  270
                   2      4.6414267655388                    0                   -0                  270
                   2     4.64140965051582                    0                   -0                  270
                   2     4.64139186441055                    0                   -0                  270
                   2     4.64137338267133                    0                   -0                  270
                   2     4.64135417995987                    0                   -0                  270
                   2     4.64133423013172                    0                   -0                  270
                   2     4.64131350621632                    0                   -0                  270
                   2      4.6412919803969                    0                   -0                  270
                   2     4.64126962399005                    0                   -0                  270
                   2     4.64124640742508                    0                   -0                  270
                   2      4.6412223002232                    0                   -0                  270
                   2     4.64119727097638                    0                   -0                  270
                   2     4.64117128732609                    0                   -0                  270
                   2     4.64114431594181                    0                   -0                  270
                   2     4.64111632249932                    0                   -0                  270
                   2      4.6410872716589                    0                   -0                  270
                   2     4.64105712704329                    0                   -0                  270
                   2     4.64102585121555                    0                   -0                  270
                   2     4.64099340565677                    0                   -0                  270
                   2     4.64095975074368                    0                   -0                  270
                   2     4.64092484572614                    0                   -0                  270
                   2     4.64088864870457                    0                   -0                  270
                   2     4.64085111660729                    0                   -0                  270
                   2     4.64081220516782                    0                   -0                  270
                   2     4.64077186890218                    0                   -0                  270
                   2     4.64073006108609                    0                   -0                  270
                   2      4.6406867337323                    0                   -0                  270
                   2     4.64064183756786                    0                   -0                  270
                   2     4.64059532201149                    0                   -0                  270
                   2     4.64054713515097                    0                   -0                  270
                   2     4.64049722372069                    0                   -0                  270
                   2     4.64044553307929                    0                   -0                  270
                   2     4.64039200718745                    0                   -0                  270
                   2     4.64033658858582                    0                   -0                  270
                   2     4.64027921837321                    0                   -0                  270
                   2     4.64021983618495                    0                   -0                  270
                   2      4.6401583801715                    0                   -0                  270
                   2     4.64009478697742                    0                   -0                  270
                   2     4.64002899172051                    0                   -0                  270
                   2     4.63996092797142                    0                   -0                  270
                   2     4.63989052773353                    0                   -0                  270
                   2     4.63981772142333                    0                   -0                  270
                   2      4.6397424378511                    0                   -0                  270
                   2     4.63966460420221                    0                   -0                  270
                   2     4.63958414601877                    0                   -0                  270
                   2     4.63950098718191                    0                   -0                  270
                   2     4.63941504989458                    0                   -0                  270
                   2     4.63932625466498                    0                   -0                  270
                   2     4.63923452029059                    0                   -0                  270
                   2     4.63913976384289                    0                   -0                  270
                   2     4.63904190065283                    0                   -0                  270
                   2     4.63894084429696                    0                   -0                  270
                   2     4.63883650658438                    0                   -0                  270
                   2      4.6387287975446                    0                   -0                  270
                   2     4.63861762541609                    0                   -0                  270
                   2     4.63850289663586                    0                   -0                  270
                   2     4.63838451582995                    0                   -0                  270
                   2     4.63826238580485                    0                   -0                  270
                   2     4.63813640754001                    0                   -0                  270
                   2     4.63800648018132                    0                   -0                  270
                   2     4.63787250103575                    0                   -0                  270
                   2     4.63773436556714                    0                   -0                  270
                   2     4.63759196739308                    0                   -0                  270
                   2     4.63744519828307                    0                   -0                  270
                   2     4.63729394815796                    0                   -0                  270
                   2     4.63713810509062                    0                   -0                  270
                   2     4.63697755530795                    0                   -0                  270
                   2     4.63681218319436                    0                   -0                  270
                   2     4.63664187129653                    0                   -0                  270
                   2      4.6364665003297                    0                   -0                  270
                   2     4.63628594918546                    0                   -0                  270
                   2     4.63610009494103                    0                   -0                  270
                   2     4.63590881287013                    0                   -0                  270
                   2     4.63571197645543                    0                   -0                  270
                   2     4.63550945740269                    0                   -0                  270
                   2     4.63530112565653                    0                   -0                  270
                   2     4.63508684941792                    0                   -0                  270
                   2     4.63486649516345                    0                   -0                  270
                   2     4.63463992766629                    0                   -0                  270
                   2      4.6344070100191                    0                   -0                  270
                   2     4.63416760365866                    0                   -0                  270
                   2     4.63392156839241                    0                   -0                  270
                   2     4.63366876242692                    0                   -0                  270
                   2     4.63340904239825                    0                   -0                  270
                   2     4.63314226340429                    0                   -0                  270
                   2      4.6328682790391                    0                   -0                  270
                   2     4.63258694142916                    0                   -0                  270
                   2     4.63229810127177                    0                   -0                  270
                   2     4.63200160787544                    0                   -0                  270
                   2     4.63169730920231                    0                   -0                  270
                   2     4.63138505191271                    0                   -0                  270
                   2      4.6310646814118                    0                   -0                  270
                   2     4.63073604189833                    0                   -0                  270
                   2     4.63039897641547                    0                   -0                  270
                   2     4.63005332690386                    0                   -0                  270
                   2     4.62969893425674                    0                   -0                  270
                   2     4.62933563837721                    0                   -0                  270
                   2     4.62896327823774                    0                   -0                  270
                   2     4.62858169194168                    0                   -0                  270
                   2     4.62819071678706                    0                   -0                  270
                   2     4.62779018933241                    0                   -0                  270
                   2     4.62737994546486                    0                   -0                  270
                   2     4.62695982047023                    0                   -0                  270
                   2     4.62652964910531                    0                   -0                  270
                   2     4.62608926567226                    0                   -0                  270
                   2     4.62563850409504                    0                   -0                  270
                   2     4.62517719799799                    0                   -0                  270
                   2     4.62470518078636                    0                   -0                  270
                   2     4.62422228572895                    0                   -0                  270
                   2     4.62372834604272                    0                   -0                  270
                   2     4.62322319497932                    0                   -0                  270
                   2     4.62270666591365                    0                   -0                  270
                   2     4.62217859243421                    0                   -0                  270
                   2     4.62163880843541                    0                   -0                  270
                   2     4.62108714821163                    0                   -0                  270
                   2     4.62052344655308                    0                   -0                  270
                   2     4.61994753884338                    0                   -0                  270
                   2     4.61935926115885                    0                   -0                  270
                   2     4.61875845036935                    0                   -0                  270
                   2     4.61814494424079                    0                   -0                  270
                   2     4.61751858153905                    0                   -0                  270
                   2     4.61687920213543                    0                   -0                  270
                   2     4.61622664711343                    0                   -0                  270
                   2     4.61556075887687                    0                   -0                  270
                   2     4.61488138125924                    0                   -0                  270
                   2     4.61418835963426                    0                   -0                  270
                   2     4.61348154102746                    0                   -0                  270
                   2     4.61276077422889                    0                   -0                  270
                   2     4.61202590990669                    0                   -0                  270
                   2     4.61127680072148                    0                   -0                  270
                   2     4.61051330144165                    0                   -0                  270
                   2     4.60973526905916                    0                   -0                  270
                   2     4.60894256290609                    0                   -0                  270
                   2     4.60813504477155                    0                   -0                  270
                   2     4.60731257901908                    0                   -0                  270
                   2     4.60647503270426                    0                   -0                  270
                   2     4.60562227569262                    0                   -0                  270
                   2     4.60475418077757                    0                   -0                  270
                   2     4.60387062379834                    0                   -0                  270
                   2      4.6029714837578                    0                   -0                  270
                   2     4.60205664294007                    0                   -0                  270
                   2      4.6011259870278                    0                   -0                  270
                   2     4.60017940521896                    0                   -0                  270
                   2     4.59921679034312                    0                   -0                  270
                   2     4.59823803897704                    0                   -0                  270
                   2     4.59724305155945                    0                   -0                  270
                   2     4.59623173250493                    0                   -0                  270
                   2     4.59520399031684                    0                   -0                  270
                   2     4.59415973769894                    0                   -0                  270
                   2     4.59309889166594                    0                   -0                  270
                   2     4.59202137365254                    0                   -0                  270
                   2     4.59092710962098                    0                   -0                  270
                   2     4.58981603016703                    0                   -0                  270
                   2      4.5886880706242                    0                   -0                  270
                   2     4.58754317116603                    0                   -0                  270
                   2     4.58638127690648                    0                   -0                  270
                   2      4.5852023379982                    0                   -0                  270
                   2      4.5840063097285                    0                   -0                  270
                   2     4.58279315261306                    0                   -0                  270
                   2     4.58156283248713                    0                   -0                  270
                   2     4.58031532059416                    0                   -0                  270
                   2     4.57905059367173                    0                   -0                  270
                   2     4.57776863403468                    0                   -0                  270
                   2     4.57646942965529                    0                   -0                  270
                   2     4.57515297424043                    0                   -0                  270
                   2     4.57381926730556                    0                   -0                  270
                   2     4.57246831424547                    0                   -0                  270
                   2     4.57110012640167                    0                   -0                  270
                   2     4.56971472112628                    0                   -0                  270
                   2     4.56831212184239                    0                   -0                  270
                   2     4.56689235810068                    0                   -0                  270
                   2     4.56545546563239                    0                   -0                  270
                   2     4.56400148639827                    0                   -0                  270
                   2     4.56253046863374                    0                   -0                  270
                   2     4.56104246688991                    0                   -0                  270
                   2     4.55953754207047                    0                   -0                  270
                   2     4.55801576146447                    0                   -0                  270
                   2      4.5564771987747                    0                   -0                  270
                   2     4.55492193414182                    0                   -0                  270
                   2     4.55335005416396                    0                   -0                  270
                   2     4.55176165191197                    0                   -0                  270
                   2     4.55015682693993                    0                   -0                  270
                   2     4.54853568529124                    0                   -0                  270
                   2     4.54689833949994                    0                   -0                  270
                   2     4.54524490858732                    0                   -0                  270
                   2     4.54357551805384                    0                   -0                  270
                   2     4.54189029986617                    0                   -0                  270
                   2      4.5401893924395                    0                   -0                  270
                   2     4.53847294061488                    0                   -0                  270
                   2     4.53674109563182                    0                   -0                  270
                   2     4.53499401509581                    0                   -0                  270
                   2     4.53323186294111                    0                   -0                  270
                   2     4.53145480938848                    0                   -0                  270
                   2     4.52966303089803                    0                   -0                  270
                   2     4.52785671011716                    0                   -0                  270
                   2     4.52603603582352                    0                   -0                  270
                   2     4.52420120286315                    0                   -0                  270
                   2      4.5223524120836                    0                   -0                  270
                   2     4.52048987026234                    0                   -0                  270
                   2     4.51861379003016                    0                   -0                  270
                   2     4.51672438978989                    0                   -0                  270
                   2     4.51482189363028                    0                   -0                  270
                   2     4.51290653123519                    0                   -0                  270
                   2     4.51097853778805                    0                   -0                  270
                   2     4.50903815387177                    0                   -0                  270
                   2     4.50708562536402                    0                   -0                  270
                   2     4.50512120332807                    0                   -0                  270
                   2     4.50314514389915                    0                   -0                  270
                   2      4.5011577081665                    0                   -0                  270
                   2     4.49915916205115                    0                   -0                  270
                   2     4.49714977617943                    0                   -0                  270
                   2     4.49512982575255                    0                   -0                  270
                   2     4.49309959041203                    0                   -0                  270
                   2      4.4910593541013                    0                   -0                  270
                   2     4.48900940492348                    0                   -0                  270
                   2     4.48695003499553                    0                   -0                  270
                   2     4.48488154029878                    0                   -0                  270
                   2     4.48280422052601                    0                   -0                  270
                   2     4.48071837892522                    0                   -0                  270
