[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,PPMS_MANG
FILEOPENTIME,30468088.70,12/19/2017,4:49 pm
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.4. Build 2,APPNAME
INFO,,SAMPLE1_MATERIAL
INFO,,SAMPLE1_COMMENT
INFO,1.0,SAMPLE1_LEAD_SEPARATION
INFO,1.0,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1.0,SAMPLE2_LEAD_SEPARATION
INFO,1.0,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30468186.045,4370,299.9919,0,90.014,0.102153342753992,173,0.00236112302734767,,3.36256760475349E-7,,23.114068714359,,0.00329176488348344,,,,,,,,,,0,1250,-87.8200772920842,,-82.2824278528423,,3.47155583082696E-7,,0.0023611230274351,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468200.875,4370,299.7408,0,90.014,0.102153342753992,173,0.00236109915529166,,3.5596031479154E-7,,23.1138350147564,,0.00348465161623775,,,,,,,,,,0,1250,-87.0943768073293,,-81.8173607576914,,3.48912796463388E-7,,0.00236109915537997,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468214.57,4374,299.3353,0,90.014,0.102153342753992,173,0.00236053811587376,,3.49369376830621E-7,,23.1083426228094,,0.00342013001497086,,,,,,,,,,0,1250,-89.9760263505847,,-81.2022076690609,,2.34758366272984E-7,,0.00236053811591375,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468228.345,4374,299.0159,0,90.014,0.102153342753992,173,0.00235986579111402,,3.40759821025979E-7,,23.1017607839361,,0.00333584727531286,,,,,,,,,,0,1250,-85.1665213226518,,-83.8186097193338,,5.48078229494397E-7,,0.00235986579133205,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468240.785,4374,298.72135,0,90.014,0.102153342753992,173,0.00235935062987015,,3.49284720368085E-7,,23.0967175243936,,0.00341930123470137,,,,,,,,,,0,1250,-86.4888809156182,,-82.3187504889659,,2.19880616341102E-7,,0.00235935062990525,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468253.6,4374,298.35175,0,90.014,0.102153342753992,173,0.00235866364997926,,3.76450071629569E-7,,23.0899922167558,,0.00368523474017171,,,,,,,,,,0,1250,-85.7653192614646,,-83.53843872769,,4.89074543590967E-7,,0.00235866365015296,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468267.305,4374,297.8101,0,90.014,0.102153342753992,173,0.00235770344208454,,3.54439772790789E-7,,23.0805920968013,,0.00346976624465266,,,,,,,,,,0,1250,-87.7727204424174,,-82.4469627603095,,4.0857049973802E-7,,0.00235770344220582,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468280.91,4374,297.04265,0,90.014,0.102153342753992,173,0.00235633614355941,,3.5120078921798E-7,,23.0672066935795,,0.00343805836710692,,,,,,,,,,0,1250,-87.2374714711567,,-82.8299234961133,,8.38830426123022E-7,,0.00235633614407089,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468294.61,4374,295.8467,0,90.014,0.102153342753992,173,0.00235427697014348,,3.4885308389781E-7,,23.047048063248,,0.00341507557997422,,,,,,,,,,0,1250,-88.017940648494,,-82.2803583161097,,9.77153338623051E-7,,0.00235427697083817,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30468308.33,4374,294.24845,0,90.014,0.102153342753992,173,0.00235120230859609,,3.52218694129448E-7,,23.0169481397387,,0.00344802290595009,,,,,,,,,,0,1250,-88.3804056369701,,-82.9024436967972,,-1.57049801908129E-7,,0.00235120230861406,,,,,,,,,,,,,,,,,,,,,,,,,,,
