2.99E0,-1.01E0,9E0
2.99E0,-1.0099E0,1E1
2.99E0,-1.0097E0,9E0
2.99E0,-1.0096E0,9E0
2.99E0,-1.0094E0,1.5E1
2.99E0,-1.0093E0,1.2E1
2.99E0,-1.0091E0,7E0
2.99E0,-1.009E0,9E0
2.99E0,-1.0088E0,9E0
2.99E0,-1.0087E0,1E1
2.99E0,-1.0085E0,9E0
2.99E0,-1.0084E0,6E0
2.99E0,-1.0082E0,4E0
2.99E0,-1.0081E0,8E0
2.99E0,-1.0079E0,1.2E1
2.99E0,-1.0078E0,1.1E1
2.99E0,-1.0076E0,1.3E1
2.99E0,-1.0075E0,6E0
2.99E0,-1.0073E0,8E0
2.99E0,-1.0072E0,9E0
2.99E0,-1.007E0,7E0
2.99E0,-1.0069E0,9E0
2.99E0,-1.0067E0,1.2E1
2.99E0,-1.0066E0,1E1
2.99E0,-1.0064E0,1E1
2.99E0,-1.0063E0,1E1
2.99E0,-1.0061E0,8E0
2.99E0,-1.006E0,1.3E1
2.99E0,-1.0058E0,9E0
2.99E0,-1.0057E0,1E1
2.99E0,-1.0055E0,4E0
2.99E0,-1.0054E0,1.2E1
2.99E0,-1.0052E0,1.3E1
2.99E0,-1.0051E0,1.4E1
2.99E0,-1.0049E0,1.6E1
2.99E0,-1.0048E0,1.5E1
2.99E0,-1.0046E0,9E0
2.99E0,-1.0045E0,8E0
2.99E0,-1.0043E0,9E0
2.99E0,-1.0042E0,8E0
2.99E0,-1.004E0,9E0
2.99E0,-1.0039E0,1.1E1
2.99E0,-1.0037E0,6E0
2.99E0,-1.0036E0,1.2E1
2.99E0,-1.0034E0,1.1E1
2.99E0,-1.0033E0,1E1
2.99E0,-1.0031E0,1.2E1
2.99E0,-1.003E0,1.4E1
2.99E0,-1.0028E0,1.2E1
2.99E0,-1.0027E0,1.1E1
2.99E0,-1.0025E0,1.4E1
2.99E0,-1.0024E0,1.2E1
2.99E0,-1.0022E0,1.7E1
2.99E0,-1.0021E0,1.3E1
2.99E0,-1.0019E0,1.3E1
2.99E0,-1.0018E0,8E0
2.99E0,-1.0016E0,1.1E1
2.99E0,-1.0015E0,1.1E1
2.99E0,-1.0013E0,1.3E1
2.99E0,-1.0012E0,1.2E1
2.99E0,-1.001E0,1E1
2.99E0,-1.0009E0,1.6E1
2.99E0,-1.0007E0,1.1E1
2.99E0,-1.0006E0,9E0
2.99E0,-1.0004E0,1.7E1
2.99E0,-1.0003E0,1.1E1
2.99E0,-1.0001E0,7E0
2.99E0,-9.9996E-1,8E0
2.99E0,-9.9981E-1,1.7E1
2.99E0,-9.9966E-1,7E0
2.99E0,-9.9951E-1,1.3E1
2.99E0,-9.9936E-1,1.1E1
2.99E0,-9.9921E-1,6E0
2.99E0,-9.9906E-1,1.2E1
2.99E0,-9.9891E-1,9E0
2.99E0,-9.9876E-1,1E1
2.99E0,-9.9861E-1,1.2E1
2.99E0,-9.9846E-1,1E1
2.99E0,-9.9831E-1,4E0
2.99E0,-9.9816E-1,9E0
2.99E0,-9.9801E-1,9E0
2.99E0,-9.9786E-1,6E0
2.99E0,-9.9771E-1,1.2E1
2.99E0,-9.9756E-1,7E0
2.99E0,-9.9741E-1,6E0
